Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
The Salton Sea,103,18000000,180,7.2,676698
The Santa Clause 2,104,60000000,116,5.5,139225854
The Scorpion King,100,60000000,432,5.5,90341670
The Singles Ward,102,500000,53,6.4,1250798
The Slaughter Rule,112,500000,32,6.1,13134
The Sum of All Fears,124,68000000,568,6.4,118471320
The Sweetest Thing,90,43000000,403,5.1,24430272
The Time Machine,96,80000000,615,5.9,56684819
The Transporter,92,21000000,460,6.8,25296447
The Tuxedo,98,60000000,207,5.3,50189179
The Wild Thornberrys Movie,85,25000000,33,5.2,39880476
They,89,17000000,271,4.8,12693621
Time Changer,95,825000,158,5.6,15278
Treasure Planet,95,140000000,217,7.1,38120554
Tuck Everlasting,90,15000000,127,6.7,19158074
Two Weeks Notice,101,60000000,269,6.1,93307796
Undercover Brother,86,25000000,179,5.8,38230435
Undisputed,94,20000000,88,6.1,12398628
Unfaithful,124,50000000,533,6.7,52752475
Van Wilder: Party Liaison,94,6000000,258,6.4,21005329
We Were Soldiers,124,75000000,742,7.1,78120196
Welcome to Collinwood,86,12000000,90,6.4,333976
Whale Rider,101,6000000,346,7.6,20772796
White Oleander,109,16000000,171,7.2,16346122
Windtalkers,153,115000000,454,6,40911830
xXx,132,70000000,737,5.8,141204016
11:14,85,6000000,133,7.2,3810792
2 Fast 2 Furious,107,76000000,370,5.9,127083765
21 Grams,124,20000000,559,7.7,16248701
A Guy Thing,101,20000000,92,5.6,15408822
A Man Apart,109,36000000,135,6.1,26183197
A Mighty Wind,91,6000000,272,7.3,17508936
Agent Cody Banks,102,26000000,104,5,47285499
Alex & Emma,96,30000000,105,5.6,14208384
All the Real Girls,108,2500000,126,6.9,548712
American Splendor,101,2000000,226,7.5,6003587
American Wedding,74,55000000,332,6.3,104354205
Anything Else,108,18000000,155,6.4,3203044
Bad Boys II,147,130000000,511,6.6,138396624
Bad Santa,98,18000000,485,7.1,60057639
Basic,98,50000000,286,6.5,26536120
Beyond Borders,127,35000000,156,6.5,4426297
Big Fish,125,70000000,816,8,66257002
Bon voyage,114,20000000,53,6.9,2353728
Bringing Down the House,105,33000000,236,5.5,132541238
Bruce Almighty,101,81000000,604,6.7,242589580
Bulletproof Monk,104,52000000,180,5.5,23020488
Charlie's Angels: Full Throttle,107,120000000,554,4.8,100685880
Chasing Papi,76,9000000,41,4.8,6126237
Cheaper by the Dozen,94,40000000,288,5.8,138614544
Code 46,93,7500000,150,6.3,197148
Cold Mountain,154,79000000,674,7.2,95632614
Confidence,97,15000000,144,6.7,12212417
Cradle 2 the Grave,101,30000000,185,5.8,34604054
Daddy Day Care,92,60000000,116,5.5,104148781
Darkness Falls,96,11000000,369,4.9,32131483
Dickie Roberts: Former Child Star,98,17000000,117,5.6,22734486
Dreamcatcher,136,68000000,662,5.5,33685268
